name,author,types,popularity,
沙雕渣攻今天又,Ptsd创应碍,总裁,2089.5万,
冷傲神医宠夫三,泛次元文化,古风,1.6亿,
铳火,老庄,战斗,15.8亿,
我是韩三千,本命漫画,权谋,5.7亿,
渣女求生日记,宇鱼牧场漫画设计工作室,穿越,8.7亿,
重生都市天尊,缘漫动漫-缘娘,后宫,32.6亿,
属性番外之我捡,刺猬猫漫画,穿越,8180万,
我和妹子们的荒,青葶动漫,系统,15.8亿,
大小姐能有什么,深圳云朵屋科技有限公司,总裁,2.6亿,
蘑菇勇者,拾部君,重生,4363万,
航海王,翻翻动漫 x 尾田荣一郎,战斗,201.7亿,
史上最强,拾部君,古风,8.5亿,
完美世界,神漫君,战斗,2.4亿,
最强氪金,仟绘动漫,系统,972.4万,
武道独尊,破界互动,战斗,16.8亿,
炮灰公主想苟到,彩墨格工作室,古风,2.5亿,
通幽大圣,比格熊动漫 x 阅文漫画,穿越,5443.2万,
反派女帝来袭！,三福动漫,大女主,7.9亿,
元尊,未天文化,战斗,22.8亿,
失业魔王,SF轻小说,战斗,34.2亿,
通灵妃,肉肉,古风,450.6亿,
武道巅峰,仟绘动漫,后宫,680.8万,
人类圈养计划,一岁,末日,16.2亿,
日月同错,翻翻动漫 x 第年秒,战斗,5.1亿,
正邪,老头,灵异,9.8亿,
人在末世，刚成,有欧气工厂,系统,4.3亿,
明朝败家子,阅文漫画 x 月关白勺漫画工作室,古风,2.1亿,
冷血公爵攻略计,大行道动漫,穿越,1.7亿,
神惩的公主殿下,DAZUI,大女主,1691.1万,
天启预报,合火人工作室,战斗,3195.8万,
恶偶 (天才玩,一淳,战斗,21.2亿,
小妈攻略,十字星,重生,8.5亿,
心理负距离,鱼骨头漫画工作室,职场,9.5亿,
你是我的万有引,魔小利,大女主,8260.6万,
被美女师傅调教,iCiyuan动漫 x 箫勺映画,穿越,5.2亿,
拯救世界的话需,三界动画,大女主,916.4万,
难以启齿的接触,躺着吧 x 签子,重生,21.4亿,
浴火毒女,一只柚子,古风,25.2亿,
血姬与骑士,SF轻小说 x 合火人工作室,战斗,12亿,
神女为煌,小桐,古风,5亿,
从今天开始当城,青葶动漫,穿越,37.3亿,
要被吃掉了,艾鲁猫,总裁,4亿,
逆天邪神,仟绘动漫,古风,7.1亿,
我是诡宅经纪人,左小岸,灵异,2.4亿,
腹黑王爷：惹不,阿柯文化,大女主,320.9万,
人渣改造方案,七骨猫,穿越,1.7亿,
神俑降临,莒小暗,战斗,45.9亿,
万事万灵,爽工作室 x 易飘扬 x 周烈焚,神仙,15.6亿,
影帝X影帝,光線君 x 海洋扇贝 x 明月堂工作室,职场,16.3亿,
武拳,夏言,古风,27亿,
天下为聘：王妃,泛次元文化,大女主,1.8亿,
我不过是个大罗,二胡藏剑,后宫,15.3亿,
喵与喵薄荷,林炭炭 x applepie x 黑卷,职场,4.7亿,
我的孩子是大佬,创迹文化,战斗,6.5亿,
末日乐园,番奇动漫 x 阅文漫画,大女主,559.9万,
恶魔饲养者,芝居藕打瓷,复仇,10.5亿,
萌师在上,大魔王漫画,古风,31.6亿,
超神灵主,光子创想 x 一身正气宫老师,战斗,18.5亿,
神锁琉璃,cathiei,重生,2509.3万,
黎明医生,阅文漫画 x 莫比乌斯,灵异,4.9亿,
女总裁的贴身神,九夏动漫,后宫,1511.6万,
破阵图,火星动漫 x 六花漫创,古风,4844.5万,
受制于人,彩笺,职场,1016.3万,
傻子,Nagy,脑洞,4.8亿,
我的专属梦境游,阅文漫画 x 浩杰动漫,系统,4.7亿,
长野宣歌,Save,战斗,3.3亿,
反派妖婿, ,后宫,5.6亿,
国民校草是女生,阅文漫画,大女主,64.9亿,
亲爱的恶魔啊,星空社,复仇,2亿,
我师兄实在太稳,优酷动漫,重生,866.4万,
蛇王的娇妻,燃梦文化  x 孟婆,穿越,1.2亿,
逆转关系,Vivian,大女主,1468.6万,
王爷府的直男小,星空社,古风,19亿,
逆袭归来：我的,阿柯文化,逆袭,3893.3万,
重生相逢：给你,阿柯文化,重生,4.5亿,
天道图书馆,阅文漫画 x 火力熊猫,古风,5.8亿,
我是这家的孩子,kakao君,大女主,35.2亿,
伍六七：黑白双,啊哈娱乐,逆袭,4.8亿,
我才不是恶毒女,初心漫画,娱乐圈,199.6亿,
大佬失忆后只记,阅文漫画 x 春日文化,职场,5.4亿,
医统·乱世,木偶 x 段言,战斗,5169.4万,
X-龙时代,神漫君,穿越,4.1亿,
无法抑制的本能,零尘,妖怪,578.6万,
SQ,幕星社 x 坛九,脑洞,39.9亿,
反派总想拆CP,千秋叶,总裁,194.7万,
我有999种异,阅文漫画,复仇,301.4万,
重瞳子,橡皮虫子五号,神仙,9亿,
蓝白社,阅文漫画,战斗,3648.3万,
神豪之天降系统,大行道动漫,系统,8.8亿,
影帝他要闹离婚,岛上Project,总裁,18亿,
朝西，In o,知更 x 椒叔,妖怪,9.9亿,
清风冥月传,自在晓天,灵异,3.4亿,
我家大师兄脑子,剧象漫画 x 凌宇沫,穿越,79.9亿,
赛博英雄传,两套金漫画 x 阅文漫画,重生,1511.5万,
七个老婆逼我死,安徽微漫,古风,4986.8万,
绝世战魂,天苍子动漫,古风,5.5亿,
无限使徒与十二,SF轻小说,后宫,16.7亿,
这个修士来自未,青葶动漫,重生,6.7亿,
神级兑换系统,创迹文化,古风,3841.5万,
陆总，你老婆又,插电动漫,职场,4.1亿,
降魔专家,火山研 x 阅文漫画,穿越,262.9万,
重生空间：大小,iCiyuan动漫,大女主,16.8亿,
这个竹马白切黑,小熊硬糖 x 可乐,职场,833.1万,
诞下龙种吧！,NNNi,重生,72.1亿,
我在末世捡属性,iCiyuan动漫 x 仁山动漫,系统,7.3亿,
三更四鼓,mBarry,灵异,4.7亿,
第一赘婿,二周目漫画,战斗,14.6亿,
以下犯上,吃饱饭工厂 x 盒盒酥 x 时梧,古风,54.8亿,
女子学院的男生,触岛漫画 x 触岛漫画,后宫,63.4亿,
回头是岸,悟漫田-曹芮搏,末日,2699.9万,
总有妖怪想害朕,十字星 x 白泽Adult,古风,20.8亿,
黑锦鲤,Kujira_,灵异,5亿,
大反派名单,午后漫画 x 卡卡罗特 x only oneway,复仇,26.4亿,
山上之人,凯特动漫,妖怪,5911.9万,
堕玄师,漫道酱,古风,59亿,
设定一直在坑我,montage x 七葉晴明,古风,1345.7万,
光之子,神漫君,战斗,2亿,
我与玛丽苏女主,元气工场,穿越,17.3亿,
为死敌献上爷的,琪漫文化-小麦,娱乐圈,4亿,
我偏要浪,花香蘑菇,穿越,13.3亿,
我的相公有点多,青葶动漫,大女主,2亿,
"狂热BOSS,",札雅工作室,职场,7.9亿,
独步逍遥,沉乡,穿越,11.2亿,
反派女主要升级,漫大毛工作室,穿越,6.6亿,
与君行,乐游映画,古风,1.3亿,
修仙之人在都市,二胡藏剑,战斗,8.9亿,
我在末世有座黄,仟绘动漫,末日,487.1万,
小阁老,炎漫画 x 阅文漫画,古风,1108.6万,
天下第一宠,热萌文化,古风,36.1亿,
我的影子会挂机,阅文漫画,系统,6.9亿,
风信花,麟琅工作室 x nowhere x 鱼刺,职场,65.5亿,
萌宝一加一,阅文漫画,职场,23.4亿,
魍魉之花,Nagy,古风,237.8万,
萌虎重生：将军,沉乡,古风,2.6亿,
狐妃，别惹火2,波奇,古风,822.9万,
抓个国师做夫婿,晏殊 x 启灵者,大女主,1.4亿,
依赖症X,尽海不鱼,战斗,6.5亿,
藏锋行,凯特动漫 x 乘凉,古风,2.9亿,
修真聊天群,阅文漫画 x 火力熊猫,修仙,147.6亿,
三体,幻创未来,末日,1.7亿,
成为吸血鬼影帝,大行道动漫,穿越,1.5亿,
都市捉妖人,大周互娱,灵异,5.2亿,
罪兽之绊,Hanibal,推理,13亿,
无尽囚笼,木鸳文化,脑洞,2.1亿,
酒神,神漫君,穿越,1.7亿,
绝世灵甲师 -,王乐杨 x 热血ZH. x 诈术师德德,复仇,6611.5万,
锦阵花营,苏小宇222,古风,6386万,
都市无敌战神,星际互娱,复仇,344万,
杀狼贤者,画漫画的大懒,后宫,9.2亿,
诡园录,惊面兔,推理,13.4亿,
非职业半仙,Ptsd创应碍,灵异,1.6亿,
小绿和小蓝,Ocarina,脑洞,68.6亿,
重生之我是大天,愚者,重生,2.9亿,
女首富之娇宠摄,大魔王漫画,古风,8.4亿,
某天成为王的女,传奇漫业,古风,16.7亿,
我的小弟是妖王,优时文化,系统,1.8亿,
武动乾坤,神漫君,战斗,3.9亿,
替身少爷不好惹,仟绘动漫,复仇,608.3万,
藏锋,三福动漫,古风,5532.8万,
探灵VLOG,鲜漫文化 x 菠萝陈,灵异,2.6亿,
败者为寇,gk工坊 x 番薯,复仇,27.9亿,
赛博黄袍怪想洞,Wrectage,末日,3393万,
末世妖行记,漫影空间,战斗,2491.8万,
姐姐能有什么坏,昭广传媒,职场,451万,
孩子五个爹,拂晓联盟 x 久葵叔 x 扶摇文化,大女主,3151.1万,
天才酷宝：总裁,沉乡,职场,7.5亿,
韶光慢,阅文漫画,古风,6.5亿,
末世女王,蔷薇事务所,大女主,12.3亿,
最强原始人,惊奇工场,穿越,3.6亿,
谁是那个他,火星动漫,宅斗,486.5万,
逆天至尊,沉乡,重生,3.7亿,
未来断点,布布星球,机甲,1.7亿,
名门挚爱,快看漫画,总裁,17.2亿,
苍白王座,DAZUI,战斗,26.2亿,
食灵王,两只猫先生,战斗,1.1亿,
南城待月归,阅文漫画,职场,2.8亿,
超级拜金系统,思纯,后宫,11.4亿,
博人传-火影次,翻翻动漫 x 集英社,战斗,5.2亿,
我钱花不完了怎,DAZUI,古风,3.2亿,
秦侠,火山研,穿越,27.5亿,
北剑江湖,SMC,古风,2.3亿,
