1.1459, 1.00%, 1.1459, 指数型-股票, 高风险， 0.22亿元（2021-12-31）, 王紫菡, 2019-12-09, 嘉实基金, , 沪深300红利低波动指数  , 0.08%
1.1883, 1.57%, 1.1883, 指数型-股票, 高风险， 1.08亿元（2021-12-31）, 李直, 2018-08-08, 嘉实基金, , 中证锐联基本面50指数  , 0.09%
1.1592, -0.41%, 1.6514, 股票型, 高风险， 0.92亿元（2021-12-31）, 徐亦达, 成 立 日, ：, 基金评级, 基金评级, 暂无评级
1.2394, 1.14%, 1.2894, 指数型-股票, 高风险， 0.56亿元（2021-12-31）, 崔蕾, 2020-01-21, 南方基金, , 标普中国A股大盘红利低波50指数  , --
1.2282, 1.14%, 1.2782, 指数型-股票, 高风险， 0.11亿元（2021-12-31）, 崔蕾, 2020-01-21, 南方基金, , 标普中国A股大盘红利低波50指数  , --
1.1421, -0.42%, 1.6296, 股票型, 高风险， 0.82亿元（2021-12-31）, 徐亦达, 成 立 日, ：, 基金评级, 基金评级, 暂无评级
2.4875, 1.91%, 2.4875, 股票型, 中高风险， 5.39亿元（2021-12-31）, 孙晟, 2017-03-08, 建信基金, , 建信基金, ：
0.9460, 0.53%, 0.9460, 股票型, 中高风险， 6.95亿元（2021-12-31）, 杨鑫鑫, 2014-12-11, 工银瑞信基金, , 工银瑞信基金, ：
2.8510, 0.64%, 2.8510, 指数型-股票, 高风险， 2.74亿元（2021-12-31）, 罗博, 2014-03-14, 银河基金, , 中证腾讯济安价值100A股指数  , 0.16%
0.9486, 1.54%, 0.9486, 指数型-股票, 高风险， 1.31亿元（2021-12-31）, 周晶, 成 立 日, ：, 基金评级, 标普沪港深中国增强价值指数  , --
3.2960, 0.27%, 3.2960, 股票型, 高风险， 2.16亿元（2021-12-31）, 周智硕, 2014-09-10, 建信基金, , 建信基金, ：
0.9380, 1.54%, 0.9380, 指数型-股票, 高风险， 0.07亿元（2021-12-31）, 周晶, 成 立 日, ：, 基金评级, 标普沪港深中国增强价值指数  , --
1.8446, 1.02%, 1.8446, 股票型, 高风险， 0.61亿元（2021-12-31）, 邹新进, 2018-09-20, 国联安基金, , 基金评级, 暂无评级
1.5420, -5.22%, 1.5420, 股票型, 高风险， 1.88亿元（2021-12-31）, 文仲阳, 2015-08-18, 招商基金, , 招商基金, ：
1.5850, -1.37%, 1.5850, 指数型-股票, 高风险， 0.66亿元（2021-12-31）, 夏高, 2016-02-03, 大成基金, , 中证360互联网+大数据100指数  , 0.15%
1.4715, 1.88%, 1.4715, 指数型-股票, 高风险， 7.42亿元（2021-12-31）, 陆志明, 2017-08-02, 广发基金, , 中证全指建筑材料指数  , 0.13%
1.4748, 1.87%, 1.4748, 指数型-股票, 高风险， 6.02亿元（2021-12-31）, 陆志明, 2017-08-02, 广发基金, , 中证全指建筑材料指数  , 0.13%
1.3241, 1.19%, 1.3241, 指数型-股票, 高风险， 0.46亿元（2021-12-31）, 赵云煜, 2019-09-11, 建信基金, , 中证红利潜力指数  , 0.10%
0.8670, 1.64%, 0.3800, 指数型-股票, 高风险， 1.12亿元（2021-12-31）, 罗英宇, 2015-05-27, 鹏华基金, , 中证高铁产业指数  , 0.12%
1.5645, -0.89%, 1.5645, 股票型, 中高风险， 0.03亿元（2021-12-31）, 马芳, 2018-10-31, 国金基金, , 基金评级, 暂无评级
1.5380, -1.41%, 1.5380, 指数型-股票, 高风险， 0.32亿元（2021-12-31）, 夏高, 2017-01-18, 大成基金, , 中证360互联网+大数据100指数  , 0.15%
1.0122, 1.65%, 1.0122, 指数型-股票, 高风险， 2.49亿元（2021-12-31）, 孙伟, 2015-06-10, 南方基金, , 中证高铁产业指数  , 0.10%
1.3100, 1.18%, 1.3100, 指数型-股票, 高风险， 0.09亿元（2021-12-31）, 赵云煜, 2019-09-11, 建信基金, , 中证红利潜力指数  , 0.10%
1.4040, 1.28%, 1.4040, 股票型, 高风险， 8.15亿元（2021-12-31）, 李欣, 2018-03-14, 嘉实基金, , 基金评级, 暂无评级
3.6670, 0.19%, 3.6670, 股票型, 高风险， 22.39亿元（2021-12-31）, 周智硕, 2014-08-20, 建信基金, , 建信基金, ：
2.0973, -1.42%, 2.0973, 股票型, 高风险， 25.89亿元（2021-12-31）, 吴越, 2016-12-07, 嘉实基金, , 嘉实基金, ：
1.3754, 1.27%, 1.3754, 股票型, 高风险， 2.43亿元（2021-12-31）, 李欣, 2018-03-14, 嘉实基金, , 基金评级, 暂无评级
0.8760, 1.17%, 0.8760, 指数型-股票, 高风险， 0.76亿元（2021-12-31）, 赖中立, 2017-11-24, 汇添富基金, , 中证港股通高股息投资港元指数  , 0.27%
2.3840, -0.13%, 2.3840, 股票型, 中高风险， 11.97亿元（2021-12-31）, 程洲, 2017-06-15, 国泰基金, , 国泰基金, ：
0.9366, -2.35%, 0.9366, 股票型, 高风险， 0.23亿元（2021-12-31）, 盖俊龙, 成 立 日, ：, 基金评级, 基金评级, 暂无评级
2.0820, 0.34%, 2.0820, 股票型, 中高风险， 7.61亿元（2021-12-31）, 蔡宇滨, 2015-05-12, 诺安基金, , 诺安基金, ：
0.8613, 1.17%, 0.8613, 指数型-股票, 高风险， 0.22亿元（2021-12-31）, 赖中立, 2017-11-24, 汇添富基金, , 中证港股通高股息投资港元指数  , 0.27%
2.2670, 1.30%, 2.2970, 指数型-股票, 高风险， 0.74亿元（2021-12-31）, 丰晨成, 2010-04-23, 华宝基金, , 上证180价值指数  , 0.13%
2.0780, 0.29%, 2.0780, 股票型, 中高风险， 0.85亿元（2021-12-31）, 蔡宇滨, 2020-10-28, 诺安基金, , 基金评级, 暂无评级
1.6986, -1.60%, 1.6986, 指数型-股票, 高风险， 2.78亿元（2021-12-31）, 刘欣, 成 立 日, ：, 基金评级, 中证主要消费红利指数  , 0.13%
1.9072, 0.36%, 2.7799, 股票型, 中高风险， 1.33亿元（2021-12-31）, 蔡宇滨, 2012-05-28, 诺安基金, , 基金评级, 暂无评级
1.6902, -1.60%, 1.6902, 指数型-股票, 高风险， 1.61亿元（2021-12-31）, 刘欣, 成 立 日, ：, 基金评级, 中证主要消费红利指数  , 0.13%
1.8610, 0.65%, 2.1620, 股票型, 高风险， 2.79亿元（2021-12-31）, 刘宏, 2015-01-13, 前海开源基金, , 前海开源基金, ：
3.0257, 0.67%, 3.0257, 股票型, 中高风险， 2.72亿元（2021-12-31）, 王东杰, 2015-07-29, 建信基金, , 建信基金, ：
4.6750, 0.69%, 4.6750, 股票型, 高风险， 28.34亿元（2021-12-31）, 陈一峰, 2014-04-21, 安信基金, , 安信基金, ：
1.6170, 0.42%, 1.6170, 指数型-股票, 高风险， 0.37亿元（2021-12-31）, 周文超, 成 立 日, ：, 基金评级, 中证浙江凤凰行动50指数  , 0.15%
0.9152, 0.03%, 0.9152, 指数型-股票, 高风险， 1.75亿元（2021-12-31）, 沙川, 2021-01-22, 天弘基金, , 中证农业主题指数  , 0.09%
1.0886, 1.45%, 1.0886, 指数型-股票, 高风险， 2.73亿元（2021-12-31）, 万琼, 成 立 日, ：, 基金评级, 上证资源  , 0.16%
0.8624, 1.57%, 0.8624, 指数型-股票, 高风险， 1.19亿元（2021-12-31）, 胡迪, 成 立 日, ：, 基金评级, 标普港股通低波红利指数  , --
2.5331, 0.41%, 2.5331, 股票型, 高风险， 5.66亿元（2021-12-31）, 李游, 2016-11-02, 创金合信基金, , 创金合信基金, ：
0.9032, 1.10%, 0.9032, 指数型-股票, 高风险， 0.15亿元（2021-12-31）, 顾弘原, 2019-04-26, 财通基金, , 中证香港红利等权投资指数  , 0.27%
0.9129, 0.03%, 0.9129, 指数型-股票, 高风险， 6.45亿元（2021-12-31）, 沙川, 2021-01-22, 天弘基金, , 中证农业主题指数  , 0.09%
2.3798, 1.13%, 2.3798, 股票型, 中高风险， 5.51亿元（2021-12-31）, 高源, 2017-02-23, 万家基金, , 万家基金, ：
1.6129, 1.45%, 1.6329, 指数型-股票, 高风险， 2.73亿元（2021-12-31）, 龚涛, 2010-08-27, 南方基金, , 中证南方小康产业指数  , 0.08%
1.9352, 0.41%, 2.0052, 股票型, 高风险， 1.24亿元（2021-12-31）, 王平, 2016-03-15, 招商基金, , 招商基金, ：
0.8952, 1.10%, 0.8952, 指数型-股票, 高风险， 0.03亿元（2021-12-31）, 顾弘原, 2019-04-26, 财通基金, , 中证香港红利等权投资指数  , 0.27%
0.8458, 1.56%, 0.8458, 指数型-股票, 高风险， 0.51亿元（2021-12-31）, 胡迪, 成 立 日, ：, 基金评级, 标普港股通低波红利指数  , --
1.5840, 1.45%, 1.6040, 指数型-股票, 高风险， 0.02亿元（2021-12-31）, 龚涛, 2017-02-23, 南方基金, , 中证南方小康产业指数  , 0.08%
1.5610, 0.52%, 1.5610, 股票型, 中高风险， 18.58亿元（2021-12-31）, 鲍无可, 2015-04-15, 景顺长城基金, , 景顺长城基金, ：
2.4630, 0.41%, 2.4630, 股票型, 高风险， 4.82亿元（2021-12-31）, 李游, 2016-11-02, 创金合信基金, , 创金合信基金, ：
0.9730, 1.32%, 0.9730, 股票型, 高风险， 3.04亿元（2021-12-31）, 周书, 成 立 日, ：, 基金评级, 基金评级, 暂无评级
1.3492, 1.05%, 1.3492, 指数型-股票, 高风险， 0.12亿元（2021-12-31）, 江勇, 2010-09-28, 海富通基金, , 上证周期  , 0.16%
1.9102, 0.41%, 1.9102, 股票型, 高风险， 0.47亿元（2021-12-31）, 王平, 2019-09-11, 招商基金, , 基金评级, 暂无评级
1.0183, 1.04%, 1.0183, 指数型-股票, 高风险， 0.18亿元（2021-12-31）, 卢轶乔, 2018-04-10, 银河基金, , 中证沪港深高股息人民币指数  , 0.21%
1.0085, 1.04%, 1.0085, 指数型-股票, 高风险， 0.02亿元（2021-12-31）, 卢轶乔, 2018-04-10, 银河基金, , 中证沪港深高股息人民币指数  , 0.21%
1.7717, 1.01%, 1.7717, 指数型-股票, 高风险， 0.90亿元（2021-12-31）, 耿帅军, 2018-08-30, 中金基金, , 中证中金优选300指数  , 0.09%
1.1150, 2.07%, 1.1150, 指数型-股票, 高风险， 1.46亿元（2021-12-31）, 黄欣, 2010-12-01, 国联安基金, , 上证商品  , 0.19%
1.3092, 1.20%, 1.8277, 指数型-股票, 高风险， 9.98亿元（2021-12-31）, 赵兵, 2010-02-11, 申万菱信基金, , 沪深300价值指数  , 0.10%
1.7527, 1.01%, 1.7527, 指数型-股票, 高风险， 0.09亿元（2021-12-31）, 耿帅军, 2018-08-30, 中金基金, , 中证中金优选300指数  , 0.09%
1.0370, 1.27%, 1.0370, 指数型-股票, 高风险， 0.01亿元（2021-12-31）, 罗博, 2021-07-26, 银河基金, , 沪深300价值指数  , 0.10%
1.5820, 1.22%, 1.8070, 指数型-股票, 高风险， 32.97亿元（2021-12-31）, 罗博, 2009-12-28, 银河基金, , 沪深300价值指数  , 0.10%
1.0191, 1.21%, 1.1351, 指数型-股票, 高风险， 0.45亿元（2021-12-31）, 赵兵, 2019-08-08, 申万菱信基金, , 沪深300价值指数  , 0.10%
